 ,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
1,148.212,217.902,12.267,49.693,0.754,1.149,0.870,0.936
2,142.892,224.703,24.379,53.216,0.634,1.059,0.945,0.900
3,102.015,9.230,28.576,49.374,0.526,1.379,0.725,0.865
4,109.906,238.737,40.905,41.364,0.807,1.305,0.766,0.953
5,49.034,39.899,48.994,34.741,0.511,1.677,0.596,0.838
6,103.300,198.743,53.198,46.418,0.602,1.193,0.838,0.878
7,120.680,290.186,57.356,54.632,0.508,1.104,0.906,0.904
8,56.749,41.792,54.997,33.150,0.649,1.523,0.657,0.881
9,62.468,161.312,59.716,40.305,0.483,1.695,0.590,0.887
10,113.276,298.786,65.149,43.368,0.757,1.196,0.836,0.928
11,49.744,166.260,63.280,29.760,0.706,1.800,0.556,0.927
12,116.246,177.998,69.122,56.440,0.459,1.157,0.864,0.920
13,107.778,301.438,75.943,41.879,0.772,1.146,0.873,0.927
14,143.557,23.606,83.566,49.868,0.725,1.255,0.797,0.930
15,84.369,322.516,92.291,41.509,0.615,1.183,0.845,0.918
16,146.438,14.856,94.212,50.114,0.733,1.090,0.917,0.935
17,44.246,97.348,103.554,27.952,0.712,1.875,0.533,0.909
18,55.153,100.524,107.836,33.108,0.632,2.079,0.481,0.894
19,116.246,20.127,111.507,42.351,0.814,1.055,0.948,0.937
20,137.128,172.294,131.543,43.912,0.894,1.110,0.901,0.970
21,131.320,152.236,133.593,43.491,0.872,1.011,0.989,0.964
22,131.231,39.696,142.006,54.118,0.563,1.101,0.909,0.867
23,94.300,225.719,163.924,65.599,0.275,1.100,0.909,0.856
24,90.887,257.518,168.629,44.487,0.577,1.073,0.932,0.939
25,138.901,87.302,172.042,56.861,0.540,1.078,0.928,0.916
26,133.803,303.246,173.924,50.442,0.661,1.124,0.889,0.908
27,111.813,189.029,184.124,49.417,0.575,1.125,0.889,0.898
28,126.133,241.343,188.249,46.992,0.718,1.136,0.880,0.916
29,85.832,47.121,237.996,49.004,0.449,1.384,0.722,0.872
30,66.946,54.514,245.202,39.229,0.547,1.112,0.900,0.915
